,VoltageP1,VoltageP2,TimeIndex
593,0.0,1.095,1772668223.231075
594,1.1195,0.0,1772668223.3342404
595,0.0,0.0,1772668223.4364355
596,0.0,5.0,1772668223.538362
597,143.265,5.0,1772668223.6414592
598,0.0,1.095,1772668223.7447069
599,0.0,4.702,1772668223.8455136
600,2.346,2.3365,1772668223.9489079
601,2.9865000000000004,2.522,1772668224.0516975
602,5.0,0.0,1772668224.154354
603,5.0,0.0,1772668224.2553308
604,0.0,5.0,1772668224.358201
605,143.265,5.0,1772668224.4608896
606,0.7430000000000001,140.137,1772668224.564077
607,0.0,5.0,1772668224.665072
608,0.0,5.0,1772668224.7682834
609,0.0,4.829,1772668224.870921
610,0.033999999999999996,140.7575,1772668224.9739513
611,1.1484999999999999,0.0,1772668225.075358
612,1.217,0.0,1772668225.1772816
613,80.572,5.0,1772668225.280022
614,1.168,143.265,1772668225.38374
615,1.1875,140.137,1772668225.4852505
616,0.0,5.0,1772668225.585785
617,0.0,4.819,1772668225.6881044
618,143.265,5.0,1772668225.792732
619,0.0,5.0,1772668225.8942733
620,0.0,5.0,1772668225.996753
621,0.0,5.0,1772668226.0991564
622,143.265,0.0,1772668226.2026296
623,0.0,5.0,1772668226.3042557
624,0.0,5.0,1772668226.4055026
625,0.0,5.0,1772668226.5080912
626,0.0,5.0,1772668226.610256
627,0.0,140.1615,1772668226.7145586
628,1.041,0.0,1772668226.815403
629,0.0,4.1155,1772668226.9181025
630,0.0,4.5505,1772668227.0207624
631,1.1195,0.0,1772668227.123961
632,1.2465,0.0,1772668227.2248404
633,0.0,5.0,1772668227.326777
634,0.0,5.0,1772668227.4289124
635,0.0,1.095,1772668227.532589
636,0.0,5.0,1772668227.6348317
637,0.0,5.0,1772668227.7372432
638,0.0,5.0,1772668227.8396478
639,143.265,5.0,1772668227.9429972
640,0.0,5.0,1772668228.0446665
641,2.605,140.137,1772668228.1466908
642,2.8689999999999998,140.137,1772668228.2493412
643,2.962,0.0,1772668228.3518631
644,3.1624999999999996,0.0,1772668228.454258
645,0.0,4.34,1772668228.5557978
646,0.0,5.0,1772668228.6574676
647,1.095,5.0,1772668228.7655506
648,0.0,140.3715,1772668228.8685093
649,0.0,3.1085000000000003,1772668228.970341
650,143.6415,0.0,1772668229.0727699
651,4.3205,0.0,1772668229.175277
652,143.265,5.0,1772668229.277857
653,3.4115,0.0,1772668229.3795881
654,0.0,2.1945,1772668229.4822986
655,80.572,5.0,1772668229.5847712
656,3.827,143.3235,1772668229.6873605
657,3.739,0.0,1772668229.7891002
658,0.0,5.0,1772668229.8921785
659,0.0,5.0,1772668229.9930427
660,35.034,2.7615,1772668230.0973754
661,0.0,2.903,1772668230.1979117
662,0.0,5.0,1772668230.3017082
663,3.3775,0.0,1772668230.4039557
664,3.4215,3.4065000000000003,1772668230.506592
665,0.0,5.0,1772668230.608538
666,143.265,5.0,1772668230.7109897
667,0.0,5.0,1772668230.813569
668,5.4985,5.0,1772668230.916599
669,143.265,5.0,1772668231.0175388
670,0.0,2.517,1772668231.1206615
671,0.0,5.0,1772668231.2227125
672,0.0,140.1415,1772668231.325206
673,3.382,0.0,1772668231.427448
674,3.4995,0.0,1772668231.5306237
675,3.4410000000000003,0.0,1772668231.6325836
676,1.1195,0.0,1772668231.735037
677,3.431,0.0,1772668231.8379357
678,3.392,0.0,1772668231.9398024
679,3.128,0.0,1772668232.0437093
680,3.436,0.0,1772668232.1488838
681,143.5975,0.0,1772668232.250821
682,3.519,0.0,1772668232.3534012
683,3.519,0.0,1772668232.4549294
684,143.661,0.0,1772668232.5593002
685,3.5044999999999997,0.0,1772668232.6606712
686,3.4945,0.0,1772668232.7625895
687,3.529,0.0,1772668232.8644316
